 Flow_Duration, Total_Fwd_Packets,Total_Backward_Packets,Total_Length_of_Fwd_Packets,Total_Length_of_Bwd_Packets, Fwd_Packet_Length_Max,Fwd_Packet_Length_Min, Fwd_Packet_Length_Mean, Fwd_Packet_Length_Std,Bwd_Packet_Length_Max, Bwd_Packet_Length_Min, Bwd_Packet_Length_Mean, Bwd_Packet_Length_Std,Flow_Bytes, Flow_Packets,Class
158423,24,22,703,24564,453,0,29.29166667,96.13101529,1418,0,1116.545455,567.3434105,159490.7305,290.3618793,BENIGN
61163904,14,12,993,3445,620,0,70.92857143,167.601388,2713,0,287.0833333,785.6497552,72.55913553,0.425087319,BENIGN
110544045,18,18,1213,4216,812,0,67.38888889,192.9270325,1460,0,234.2222222,476.9574596,49.11164595,0.325662047,BENIGN
185,2,2,104,136,52,52,52,0,68,68,68,0,1297297.297,21621.62162,BENIGN
672,1,1,79,161,79,79,79,0,161,161,161,0,357142.8571,2976.190476,BENIGN
490655,6,2,11607,26,5840,0,1934.5,2992.388862,20,6,13,9.899494937,23709.12352,16.30473551,BENIGN
163154,2,2,70,168,35,35,35,0,84,84,84,0,1458.744499,24.51671427,BENIGN
23800,2,2,64,96,32,32,32,0,48,48,48,0,6722.689076,168.0672269,BENIGN
69,1,1,6,6,6,6,6,0,6,6,6,0,173913.0435,28985.50725,BENIGN
30749,2,2,64,96,32,32,32,0,48,48,48,0,5203.421249,130.0855312,BENIGN
736,1,1,0,0,0,0,0,0,0,0,0,0,0,2717.391304,BENIGN
232,2,2,84,204,42,42,42,0,102,102,102,0,1241379.31,17241.37931,BENIGN
156,2,2,136,200,68,68,68,0,100,100,100,0,2153846.154,25641.02564,BENIGN
1,2,0,124,0,62,62,62,0,0,0,0,0,124000000,2000000,BENIGN
328,2,2,102,322,51,51,51,0,161,161,161,0,1292682.927,12195.12195,BENIGN
77,1,1,0,0,0,0,0,0,0,0,0,0,0,25974.02597,BENIGN
1516468,41,44,2728,6634,456,0,66.53658537,110.1299454,976,0,150.7727273,313.343549,6173.555921,56.05129815,BENIGN
31430,2,2,58,190,29,29,29,0,95,95,95,0,7890.55043,127.2669424,BENIGN
281,2,2,46,46,23,23,23,0,23,23,23,0,327402.1352,14234.87544,BENIGN
78353270,5,9,11607,62,8760,0,2321.4,3802.315321,20,0,6.888888889,5.30199124,148.9280537,0.178677929,BENIGN
315161,3,3,112,18,53,6,37.33333333,27.13546265,6,6,6,0,412.4875857,19.03788857,BENIGN
1037,2,2,66,316,33,33,33,0,158,158,158,0,368370.2989,3857.280617,BENIGN
4611,2,0,12,0,6,6,6,0,0,0,0,0,2602.472349,433.7453915,BENIGN
214,2,1,31,6,31,0,15.5,21.92031022,6,6,6,0,172897.1963,14018.69159,BENIGN
50473,1,1,0,0,0,0,0,0,0,0,0,0,0,39.62514612,BENIGN
60678,2,2,84,310,42,42,42,0,155,155,155,0,6493.292462,65.92175088,BENIGN
102,1,1,6,6,6,6,6,0,6,6,6,0,117647.0588,19607.84314,BENIGN
4449857,5,1,135,46,46,6,27,20.1246118,46,46,46,0,40.6754644,1.348357936,BENIGN
118885766,3,3,168,292,65,43,56,11.53256259,135,76,97.33333333,32.71594922,3.869260513,0.050468615,BENIGN
60,1,1,0,0,0,0,0,0,0,0,0,0,0,33333.33333,BENIGN
94454751,2,2,92,157,47,45,46,1.414213562,94,63,78.5,21.92031022,2.636182906,0.04234832,BENIGN
54,2,0,12,0,6,6,6,0,0,0,0,0,222222.2222,37037.03704,BENIGN
81336779,7,10,11613,68,4380,0,1659,2117.072113,20,0,6.8,5.006662228,143.6127683,0.209007539,BENIGN
23573,1,1,52,68,52,52,52,0,68,68,68,0,5090.56972,84.84282866,BENIGN
1231,9,6,3174,3180,1587,0,352.6666667,699.8012218,1590,0,530,821.0724694,5161657.189,12185.21527,BENIGN
48,1,2,6,12,6,6,6,0,6,6,6,0,375000,62500,BENIGN
1,2,0,0,0,0,0,0,0,0,0,0,0,0,2000000,BENIGN
79,2,0,12,0,6,6,6,0,0,0,0,0,151898.7342,25316.4557,BENIGN
270,2,2,70,168,35,35,35,0,84,84,84,0,881481.4815,14814.81481,BENIGN
207,1,1,0,0,0,0,0,0,0,0,0,0,0,9661.835749,BENIGN
201,2,2,102,224,51,51,51,0,112,112,112,0,1621890.547,19900.49751,BENIGN
277,2,2,60,344,30,30,30,0,172,172,172,0,1458483.755,14440.43321,BENIGN
209,2,2,90,146,45,45,45,0,73,73,73,0,1129186.603,19138.75598,BENIGN
3,2,0,12,0,6,6,6,0,0,0,0,0,4000000,666666.6667,BENIGN
5728837,3,1,12,0,6,0,4,3.464101615,0,0,0,0,2.094665985,0.698221995,BENIGN
64,1,1,6,6,6,6,6,0,6,6,6,0,187500,31250,BENIGN
55,1,3,0,18,0,0,0,0,6,6,6,0,327272.7273,72727.27273,BENIGN
89477,2,1,12,6,6,6,6,0,6,6,6,0,201.1690155,33.52816925,BENIGN
3,2,0,31,0,31,0,15.5,21.92031022,0,0,0,0,10300000,666666.6667,BENIGN
196,2,2,72,136,36,36,36,0,68,68,68,0,1061224.49,20408.16327,BENIGN
